Model Counting - 128 paths
OEGreedy,4.093047142028809,20.62637727193951,9223372036854775808,0
OEGreedy,3.3429360389709473,20.77107880458126,140737488355328,1
OEGreedy,3.566943883895874,21.28373533968095,9223372036854775808,2
OEGreedy,0.09069013595581055,12.045892547629416,8589934592,3
OEGreedy,0.019650936126708984,12.14369516096052,8589934592,4
OEGreedy,0.024405956268310547,17.229442671270434,1125899906842624,5
OEGreedy,0.3513491153717041,43.11089979485848,1361129467683753853853498429727072845824,6
OEGreedy,1.750241756439209,17.77463238460756,17592186044416,7
OEGreedy,0.0358889102935791,9.886612227605912,67108864,8
OEGreedy,3.694971799850464,22.277350272034592,18446744073709551616,9
OurGreedy,11.592880010604858,10.95040298910809,268435456,0
OurGreedy,10.335083961486816,10.991955193126277,268435456,1
OurGreedy,7.695401191711426,7.46292236884331,65536,2
OurGreedy,0.6261770725250244,12.041873715877486,536870912,3
OurGreedy,0.15746212005615234,10.272078694280367,134217728,4
OurGreedy,0.12592387199401855,14.35546144733317,4398046511104,5
OurGreedy,3.01509690284729,15.756051179938945,70368744177664,6
OurGreedy,17.938605785369873,10.996757268253917,536870912,7
OurGreedy,0.2808220386505127,8.960857660959233,33554432,8
OurGreedy,10.045584201812744,15.103373090207421,274877906944,9
CotengraGreedy,0,0,0,0
CotengraGreedy,0,0,0,1
CotengraGreedy,94.08904027938843,8.10481962215092,262144,2
CotengraGreedy,1.4143519401550293,12.041593332623494,268435456,3
CotengraGreedy,1.1542389392852783,12.14116380185618,536870912,4
CotengraGreedy,1.2014069557189941,14.368330192441526,1099511627776,5
CotengraGreedy,19.837523937225342,33.53052336938485,40564819207303340847894502572032,6
CotengraGreedy,0,0,0,7
CotengraGreedy,2.529974937438965,9.252352248789144,16777216,8
CotengraGreedy,0,0,0,9
CotengraKaHyPar,549.6572751998901,11.85846609989645,1073741824,0
CotengraKaHyPar,394.31264996528625,12.069799589224669,268435456,1
CotengraKaHyPar,726.7646968364716,10.287776652550336,4194304,2
CotengraKaHyPar,49.51116704940796,11.963819479507961,68719476736,3
CotengraKaHyPar,25.44245409965515,10.79968801519928,134217728,4
CotengraKaHyPar,25.832220792770386,12.905442122506555,137438953472,5
CotengraKaHyPar,146.2356312274933,12.685504251992947,68719476736,6
CotengraKaHyPar,306.466570854187,11.327805788421792,1073741824,7
CotengraKaHyPar,21.65776777267456,8.64275629975339,8388608,8
CotengraKaHyPar,536.7262210845947,14.6354885411144,68719476736,9
OERandomGreedy,0,0,0,0
OERandomGreedy,0,0,0,1
OERandomGreedy,0,0,0,2
OERandomGreedy,16.63627600669861,12.041507222325654,268435456,3
OERandomGreedy,3.593161106109619,11.744010465639871,268435456,4
OERandomGreedy,3.023020029067993,18.414091236268632,1125899906842624,5
OERandomGreedy,60.21514391899109,49.85596618542695,11417981541647679048466287755595961091061972992,6
OERandomGreedy,0,0,0,7
OERandomGreedy,7.2411229610443115,9.641916586175942,67108864,8
OERandomGreedy,0,0,0,9
